"ID","Name","State","Public","Avg.SAT","Avg.ACT","Applied","Accepted","Size","Out.Tuition","Spending"
1425,"Eastern Connecticut State University","CT",1,855,NA,2172,1493,2766,5962,5719
1426,"Yale University","CT",2,NA,NA,10705,2453,5217,19840,40386
29013,"University of Connecticut at Storrs","CT",1,1032,NA,9735,7187,12478,11656,10178
1434,"American University","DC",2,1133,NA,4613,3587,4545,15934,11803
1437,"Catholic University of America","DC",2,NA,NA,1754,1465,2159,13712,12751
1443,"Gallaudet University","DC",2,NA,NA,825,645,1541,4700,24182
1444,"George Washington University","DC",2,NA,NA,7875,5062,5471,17450,14745
1445,"Georgetown University","DC",2,NA,NA,11115,2881,5881,18300,19635
1448,"Howard University","DC",2,883,20,9776,3164,6705,7128,18287
1452,"Mount Vernon College","DC",2,842,20,149,70,203,13780,13844
1460,"Trinity College","DC",2,950,22,247,189,309,11412,11806
29100,"Univ. of the District of Columbia","DC",1,NA,NA,3895,3866,3658,3566,NA
1428,"Delaware State College","DE",1,NA,NA,2611,1845,NA,4878,9432
1429,"Goldey Beacom College","DE",2,911,NA,633,468,823,6120,6081
1431,"University of Delaware","DE",2,1035,NA,14446,10516,14130,10220,10650
1433,"Wesley College","DE",2,800,NA,980,807,872,9890,6243
7948,"Wilmington College","DE",2,NA,NA,1275,1275,615,5340,5992
1466,"Barry University","FL",2,900,20,990,784,1811,11290,9084
1467,"Bethune Cookman College","FL",2,775,16,1646,1150,2128,5188,6817
1468,"St. Thomas University","FL",2,830,19,492,370,1125,9600,7400
1469,"Florida Institute of Technology","FL",2,1096,NA,1947,1580,1863,13900,8923
1473,"Clearwater Christian College","FL",2,875,22,161,156,409,5200,6724
1479,"Embry Riddle Aeronautical University","FL",2,994,25,3151,2584,4772,7800,12878
1480,"Florida A&M University","FL",1,NA,NA,4880,2899,7931,6651,7243
1481,"Florida Atlantic University","FL",1,990,22,3181,2089,6035,6700,8717
1486,"Florida Memorial College","FL",2,NA,NA,2400,1800,1312,4160,5304
1487,"Eckerd College","FL",2,1076,25,1422,1109,1363,15360,15003
1488,"Florida Southern College","FL",2,912,23,1381,1040,1506,8025,6339
1489,"Florida State University","FL",1,NA,NA,11651,8683,18906,6680,7250
1495,"Jacksonville University","FL",2,NA,NA,1344,1008,1556,9600,7679
1505,"Lynn University","FL",2,890,21,1292,956,1250,13900,12614
1509,"Nova Southeastern University","FL",2,905,NA,1025,770,1893,8550,12523
1515,"Rollins College","FL",2,1059,25,1777,1151,1668,16425,11561
1526,"St. Leo College","FL",2,853,21,990,683,3400,9150,3379
1531,"Stetson University","FL",2,NA,NA,1557,1227,1964,12315,10307
1535,"University of Florida","FL",1,NA,NA,12445,8836,24470,7090,14737
1536,"University of Miami","FL",2,NA,NA,7122,5386,7760,16500,17500
1537,"University of South Florida","FL",1,1045,23,7589,4676,14770,6760,11020
1538,"University of Tampa","FL",2,NA,NA,1675,1190,1812,11690,8716
1540,"Webber College","FL",2,807,20,280,143,327,5590,4839
3954,"University of Central Florida","FL",1,997,23,6986,2959,12330,6618,6742
3955,"University of West Florida","FL",1,948,22,1558,1254,3754,6172,8488
7893,"Flagler College","FL",2,989,23,1415,714,1345,5120,3930
8848,"Warner Southern College","FL",2,762,17,400,280,397,6200,7774
8849,"Palm Beach Atlantic College","FL",2,947,21,729,625,1432,7900,6014
9635,"Florida International University","FL",1,1019,23,3306,2079,10208,6597,6722
9841,"University of North Florida","FL",1,1017,22,1800,1253,3876,6634,6104
1542,"Agnes Scott College","GA",2,NA,NA,417,349,510,12960,19016
1544,"Albany State College","GA",1,NA,NA,1461,1097,2035,4535,6238
1546,"Armstrong State College","GA",1,907,NA,2186,1835,2796,5604,5667
1551,"Clark Atlanta University","GA",2,804,19,4502,2497,2844,7908,9345
1552,"Augusta College","GA",1,837,NA,1452,1158,2902,4266,5513
1554,"Berry College","GA",2,NA,NA,1858,1221,1620,8050,10511
1556,"Brenau University","GA",2,930,NA,367,274,917,9592,5935
1557,"Brewton-Parker College","GA",2,766,NA,1436,1228,1320,4371,4900
1561,"Columbus College","GA",1,890,NA,1348,1050,2873,2763,5332
1564,"Emory University","GA",2,1220,28,8506,4168,5544,17600,28457
1566,"Fort Valley State College","GA",1,NA,NA,2092,1474,1903,2682,NA
1569,"Georgia Institute of Technology","GA",1,NA,NA,7837,4527,8528,6489,11271
1570,"Southern College of Technology","GA",1,940,22,652,503,2229,4023,6208
1572,"Georgia Southern University","GA",1,844,NA,8388,5423,11404,4571,4830
1573,"Georgia Southwestern College","GA",1,850,20,860,716,1703,4158,7091
1574,"Georgia State University","GA",1,NA,NA,3793,2341,7732,6744,7762
1577,"Kennesaw State College","GA",1,909,NA,2402,1824,5438,2844,4907
1578,"LaGrange College","GA",2,780,NA,544,399,600,6987,9067
1580,"Mercer University","GA",2,1002,24,2286,1668,2943,11985,8995
1582,"Morehouse College","GA",2,1026,24,3708,1678,2852,7050,8122
1583,"Morris Brown College","GA",2,850,19,6407,1500,1752,6770,NA
1585,"North Georgia College","GA",1,NA,NA,1612,1077,2023,4145,NA
1586,"Oglethorpe University","GA",2,1119,27,792,649,769,12900,8568
1587,"Paine College","GA",2,NA,NA,1322,636,589,5460,8967
1588,"Piedmont College","GA",2,951,NA,663,562,641,5640,7309
1590,"Savannah State College","GA",1,709,17,1702,1448,2726,3200,5847
1591,"Shorter College","GA",2,NA,NA,540,445,1115,7210,7356
1594,"Spelman College","GA",2,1002,23,3713,1237,1971,7000,9988
1596,"Toccoa Falls College","GA",2,878,21,NA,NA,781,6072,6015
1598,"University of Georgia","GA",1,1086,NA,11220,7871,19553,5697,7881
1599,"Valdosta State University","GA",1,841,21,3674,3247,5982,4617,5374
1600,"Wesleyan College","GA",2,1013,23,305,287,382,11500,11605
1601,"West Georgia College","GA",1,868,NA,3668,2604,4538,4650,5687
1602,"Georgia College","GA",1,811,19,1868,1788,3467,4457,4706
3484,"Covenant College","GA",2,1048,24,407,317,468,9700,8614
29258,"Savannah Coll. of Art and Design","GA",2,1005,23,1109,688,1897,8325,6874
1605,"Chaminade University of Honolulu","HI",2,850,19,621,546,766,10600,5073
1606,"Brigham Young University - Hawaii","HI",2,NA,20,1038,533,2008,1780,NA
1610,"University of Hawaii at Manoa","HI",1,978,NA,3580,2603,11028,4460,12833
7279,"Hawaii Pacific University","HI",2,955,23,1827,1409,4312,6300,5301
29020,"University of Hawaii at Hilo","HI",1,850,NA,1499,779,2082,2920,11460
1846,"Briar Cliff College","IA",2,795,22,392,351,738,10260,8355
1847,"Buena Vista College","IA",2,1019,24,860,688,1928,13306,6333
1850,"Central College","IA",2,NA,24,1283,1113,1355,10938,8444
1852,"Clarke College","IA",2,NA,21,460,340,604,10740,7963
1854,"Coe College","IA",2,1060,25,1006,742,1127,13925,10141
1856,"Cornell College","IA",2,1070,25,1538,1329,1140,15248,10340
1859,"Dordt College","IA",2,NA,23,604,562,1048,9800,7325
1860,"Drake University","IA",2,1030,25,2799,2573,3322,13420,9473
1866,"Graceland College","IA",2,949,22,555,414,996,9100,5609
1867,"Grand View College","IA",2,NA,20,535,511,1098,9820,6687
1868,"Grinnell College","IA",2,1244,29,2039,1389,1333,15688,18979
1869,"Iowa State University","IA",1,NA,NA,8427,7424,18676,7550,8420
1871,"Iowa Wesleyan College","IA",2,NA,21,443,291,563,9850,7349
1873,"Loras College","IA",2,NA,23,1641,1283,1663,11200,7578
1874,"Luther College","IA",2,1110,25,1549,1392,2269,13240,8949
1876,"Teikyo Marycrest University","IA",2,NA,20,328,243,663,9980,7791
1879,"Morningside College","IA",2,NA,22,586,533,950,10520,8111
1880,"Mount Mercy College","IA",2,NA,NA,368,317,806,10500,6695
1881,"Mount Saint Clare College","IA",2,NA,21,325,284,364,9900,6525
1883,"Northwestern College","IA",2,NA,22,860,811,1040,9900,6357
1887,"Simpson College","IA",2,NA,NA,1016,872,1116,11250,7411
1889,"Saint Ambrose University","IA",2,NA,22,897,718,1345,10450,7444
1890,"University of Northern Iowa","IA",1,NA,23,4144,3379,10135,6197,6333
1891,"University of Dubuque","IA",2,910,22,576,558,662,10430,8767
1892,"University of Iowa","IA",1,NA,NA,9224,8025,15412,8149,12194
1893,"Upper Iowa University","IA",2,NA,22,663,452,1481,8840,3733
1896,"Wartburg College","IA",2,1035,24,1231,1074,1295,11600,7735
1899,"Teikyo Westmar University","IA",2,NA,19,451,306,611,9980,NA
1900,"William Penn College","IA",2,NA,NA,326,294,630,10000,7057
1616,"Boise State University","ID",1,899,21,3619,3080,7948,2093,5705
1617,"Albertson College","ID",2,1011,24,587,479,678,13500,9727
1620,"Idaho State University","ID",1,NA,21,1989,1627,6547,4500,6266
1621,"Lewis-Clark State College","ID",1,842,21,1001,551,1970,5120,6997
1624,"Northwest Nazarene College","ID",2,NA,23,616,514,1115,9840,6261
1626,"University of Idaho","ID",1,980,23,3133,2799,7242,5962,8805
1633,"Augustana College","IL",2,NA,25,1879,1658,1950,13353,9220
1634,"Aurora University","IL",2,NA,21,532,481,815,10250,8358
1635,"Barat College","IL",2,NA,NA,261,192,453,9690,9337
1639,"Blackburn College","IL",2,NA,21,500,336,421,6500,8377
1641,"Bradley University","IL",2,1120,25,3767,3414,4531,10870,7671
1664,"College of Saint Francis","IL",2,NA,NA,422,305,781,9810,9729
1665,"Columbia College","IL",2,NA,NA,2419,2160,4852,7310,5682
1666,"Concordia University","IL",2,NA,23,528,403,1168,9216,7309
1671,"DePaul University","IL",2,1065,25,4815,3551,6069,11214,8322
1674,"Eastern Illinois University","IL",1,NA,22,5597,4253,9161,5710,5682
1678,"Eureka College","IL",2,NA,22,560,454,484,10955,9552
1684,"Greenville College","IL",2,NA,22,510,387,771,10310,8222
1688,"Illinois College","IL",2,1015,23,894,787,909,8050,7348
1691,"Illinois Institute of Technology","IL",2,1102,25,1756,1360,1911,14550,12851
1692,"Illinois State University","IL",1,NA,22,8681,6695,15701,7799,5569
1693,"Northeastern Illinois University","IL",1,NA,17,2086,1507,4056,5706,6453
1694,"Chicago State University","IL",1,NA,18,3553,1719,4543,5544,6195
1696,"Illinois Wesleyan University","IL",2,1151,28,3050,1342,1818,14360,9605
1700,"Judson College","IL",2,NA,22,313,228,552,9414,7840
1703,"Kendall College","IL",2,870,18,150,150,338,6900,8812
1704,"Knox College","IL",2,1100,25,1040,845,967,15747,13224
1706,"Lake Forest College","IL",2,NA,NA,979,638,968,16880,15687
1707,"Lewis University","IL",2,NA,20,1154,1050,2192,10560,7701
1710,"Loyola University Chicago","IL",2,1011,24,3579,2959,5244,11500,13009
1717,"MacMurray College","IL",2,NA,21,740,558,628,9620,10642
1722,"McKendree College","IL",2,NA,21,1002,555,836,7680,6652
1724,"Millikin University","IL",2,1052,24,1444,1261,1788,11910,8149
1725,"Monmouth College","IL",2,940,23,601,503,671,13000,11087
1733,"National-Louis University","IL",2,NA,17,513,347,2508,9090,7905
1734,"North Central College","IL",2,1039,25,1127,884,1310,11718,8871
1735,"North Park College","IL",2,992,22,465,361,879,12580,10889
1737,"Northern Illinois University","IL",1,NA,22,10706,7219,14826,7799,6086
1739,"Northwestern University","IL",2,1270,29,12289,5200,7450,16404,26385
1741,"Olivet Nazarene University","IL",2,NA,NA,678,640,1503,7700,NA
1744,"Principia College","IL",2,1044,NA,205,179,570,12816,16506
1745,"Quincy University","IL",2,1024,23,1025,707,1070,10100,6880
1748,"Rockford College","IL",2,NA,21,591,505,907,12305,8695
1749,"Roosevelt University","IL",2,NA,19,422,367,1700,8580,8995
1750,"Rosary College","IL",2,NA,NA,434,321,624,10950,9264
1758,"Southern Illinois University at Carbondale","IL",1,NA,22,NA,NA,16961,6953,9158
1759,"Southern Illinois University at Edwardsville","IL",1,NA,21,2540,2195,6063,5472,7498
1767,"Illinois Benedictine College","IL",2,NA,23,607,558,1222,10500,8324
1768,"Saint Xavier University","IL",2,NA,20,785,647,1670,10860,8953
1772,"Trinity College","IL",2,NA,NA,746,473,834,9600,5252
1774,"University of Chicago","IL",2,NA,NA,6348,2999,3340,18930,36854
1775,"University of Illinois - Urbana","IL",1,1139,27,14939,11652,25422,7560,8559
1776,"University of Illinois at Chicago","IL",1,NA,21,8384,5727,13518,7230,13883
1780,"Western Illinois University","IL",1,NA,22,6491,5027,9015,5706,6566
1781,"Wheaton College","IL",2,NA,NA,1432,920,2200,11480,11916
1785,"Anderson University","IN",2,885,21,1216,908,1819,10100,7994
1786,"Ball State University","IN",1,895,21,9361,7910,16148,7244,7449
1787,"Bethel College","IN",2,943,22,495,415,733,9300,6392
1788,"Butler University","IN",2,1028,25,2362,2037,2607,13130,9511
1792,"DePauw University","IN",2,NA,NA,1994,1656,1983,14300,11525
1793,"Earlham College","IN",2,1120,25,1358,1006,1028,15036,14634
1795,"University of Evansville","IN",2,1036,NA,2096,1626,2551,11800,7780
1798,"Franklin College","IN",2,1013,22,804,632,840,10390,11751
1799,"Goshen College","IN",2,1006,NA,440,396,910,9420,10270
1800,"Grace College and Seminary","IN",2,NA,21,548,428,618,8958,9798
1801,"Hanover College","IN",2,1040,24,1006,837,1024,8200,9248
1803,"Huntington College","IN",2,902,21,450,430,488,9950,9466
1804,"University of Indianapolis","IN",2,919,21,1487,1276,1417,11120,6735
1805,"Indiana Institute of Technology","IN",2,937,22,1052,810,477,8120,6111
1808,"University of Southern Indiana","IN",1,813,18,2379,2133,4283,4973,4078
1809,"Indiana University at Bloomington","IN",1,996,24,16587,13243,24763,9766,8686
1811,"Indiana Univ. East","IN",1,NA,NA,814,814,988,6140,5153
1812,"Indiana Univ.-Purdue Univ. at Fort Wayne","IN",1,NA,NA,2464,2306,4981,5170,4843
1813,"Indiana Univ.-Purdue Univ. at Indianapolis","IN",1,816,19,4630,3655,9216,8490,12803
1814,"Indiana Univ. at Kokomo","IN",1,802,NA,1108,1086,1139,6140,6303
1815,"Indiana Univ. Northwest","IN",1,NA,NA,1572,1241,2699,6140,4635
1816,"Indiana Univ. at South Bend","IN",1,NA,NA,1500,1250,2761,6594,5378
1817,"Indiana Univ. Southeast","IN",1,NA,NA,1265,1256,2728,6140,4546
1820,"Manchester College","IN",2,950,22,1004,802,909,10440,7940
1821,"Marian College","IN",2,867,NA,770,542,923,9990,7799
1822,"Indiana Wesleyan University","IN",2,863,21,735,423,2448,9210,6562
1824,"Oakland City College","IN",2,NA,NA,495,465,695,7260,5514
1825,"Purdue University at West Lafayette","IN",1,998,24,21804,18744,26213,9556,8604
1827,"Purdue University Calumet","IN",1,890,22,NA,NA,3831,5521,NA
1830,"Rose-Hulman Institute of Technology","IN",2,1210,30,3320,1840,1320,13380,13550
1832,"Saint Francis College","IN",2,860,21,213,166,513,8670,7440
1833,"Saint Joseph's College","IN",2,917,22,920,684,815,11200,7360
1834,"Calumet College of St. Joseph","IN",2,NA,NA,225,203,470,3960,4119
1835,"Saint Mary-of-the-Woods College","IN",2,814,20,150,130,341,10300,9678
1836,"Saint Mary's College","IN",2,1026,25,888,734,1433,12730,11165
1837,"Saint Meinrad College","IN",2,NA,NA,69,44,118,6004,NA
1838,"Taylor University","IN",2,1092,25,1769,1092,1757,10965,8294
1839,"Tri-State University","IN",2,911,21,1262,1102,978,9456,7603
1840,"University of Notre Dame","IN",2,1220,NA,7700,3700,7671,16850,13936
1842,"Valparaiso University","IN",2,NA,NA,2075,1727,2501,11800,9681
1844,"Wabash College","IN",2,NA,NA,800,623,801,12925,14904
9563,"Indiana State University","IN",1,825,20,5659,4761,8596,6892,6996
1903,"Baker University","KS",2,NA,23,602,483,958,8620,6136
1904,"Bethany College","KS",2,NA,23,878,816,706,8740,7718
1905,"Bethel College","KS",2,NA,22,202,184,537,8540,8324
1915,"Fort Hays State University","KS",1,NA,NA,1363,1363,3640,4869,5804
1918,"Friends University","KS",2,NA,20,358,276,838,8516,4962
1926,"Pittsburg State University","KS",1,NA,21,1419,1313,4469,5424,1834
1927,"Emporia State University","KS",1,NA,20,1256,1256,3957,5401,5527
1928,"Kansas State University","KS",1,NA,NA,5880,4075,14914,6995,6122
1929,"Kansas Wesleyan University","KS",2,NA,21,589,575,474,8400,6535
1933,"McPherson College","KS",2,NA,22,420,293,336,7950,9754
1937,"Ottawa University","KS",2,NA,NA,607,388,538,7250,NA
1940,"Southwestern College","KS",2,NA,21,213,155,504,7200,7818
1943,"Saint Mary College","KS",2,NA,NA,273,229,439,7800,7364
1945,"Sterling College","KS",2,843,22,479,373,631,8280,10049
